Using TensorFlow backend.
Building Model
Modeling Finished
2017-08-06 03:20:33.925231: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925258: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925264: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925269: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-06 03:20:33.925274: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
('TIMESTEP', 17800, '/ EPSILON', 0.09940726000011438, '/ Loss ', 36.730938)
('TIMESTEP', 17900, '/ EPSILON', 0.09940393000011502, '/ Loss ', 37.682331)
('TIMESTEP', 18000, '/ EPSILON', 0.09940060000011566, '/ Loss ', 46.779343)
Model Saved
('TIMESTEP', 18100, '/ EPSILON', 0.0993972700001163, '/ Loss ', 44.222618)
('TIMESTEP', 18200, '/ EPSILON', 0.09939394000011695, '/ Loss ', 45.871632)
('TIMESTEP', 18300, '/ EPSILON', 0.09939061000011759, '/ Loss ', 36.212692)
('TIMESTEP', 18400, '/ EPSILON', 0.09938728000011823, '/ Loss ', 34.22142)
('TIMESTEP', 18500, '/ EPSILON', 0.09938395000011888, '/ Loss ', 34.382057)
('TIMESTEP', 18600, '/ EPSILON', 0.09938062000011952, '/ Loss ', 31.269583)
('TIMESTEP', 18700, '/ EPSILON', 0.09937729000012016, '/ Loss ', 40.592346)
('TIMESTEP', 18800, '/ EPSILON', 0.0993739600001208, '/ Loss ', 34.114208)
('TIMESTEP', 18900, '/ EPSILON', 0.09937063000012145, '/ Loss ', 32.494274)
('TIMESTEP', 19000, '/ EPSILON', 0.09936730000012209, '/ Loss ', 29.499561)
Model Saved
('TIMESTEP', 19100, '/ EPSILON', 0.09936397000012273, '/ Loss ', 38.29858)
('TIMESTEP', 19200, '/ EPSILON', 0.09936064000012337, '/ Loss ', 39.209366)
('TIMESTEP', 19300, '/ EPSILON', 0.09935731000012402, '/ Loss ', 34.134632)
('TIMESTEP', 19400, '/ EPSILON', 0.09935398000012466, '/ Loss ', 35.821671)
('TIMESTEP', 19500, '/ EPSILON', 0.0993506500001253, '/ Loss ', 37.428223)
('TIMESTEP', 19600, '/ EPSILON', 0.09934732000012594, '/ Loss ', 38.642868)
('TIMESTEP', 19700, '/ EPSILON', 0.09934399000012659, '/ Loss ', 34.813614)
('TIMESTEP', 19800, '/ EPSILON', 0.09934066000012723, '/ Loss ', 34.153839)
('TIMESTEP', 19900, '/ EPSILON', 0.09933733000012787, '/ Loss ', 37.83004)
('TIMESTEP', 20000, '/ EPSILON', 0.09933400000012851, '/ Loss ', 34.63303)
Model Saved
('TIMESTEP', 20100, '/ EPSILON', 0.09933067000012916, '/ Loss ', 38.15377)
('TIMESTEP', 20200, '/ EPSILON', 0.0993273400001298, '/ Loss ', 44.980259)
('TIMESTEP', 20300, '/ EPSILON', 0.09932401000013044, '/ Loss ', 39.562748)
('TIMESTEP', 20400, '/ EPSILON', 0.09932068000013108, '/ Loss ', 45.268875)
('TIMESTEP', 20500, '/ EPSILON', 0.09931735000013173, '/ Loss ', 53.79108)
